ID,CASE_NUMBER,BLOCK,IUCR_CODE,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESC,ARREST,DOMESTIC,BEAT_NUM,DISTRICT_CODE,WARD_NO,COMMUNITY_CODE,FBI_CODE,X_COORDINATE,Y_COORDINATE,INCIDENT_YEAR,DATE_OF_UPDATE,LATITUDE,LONGITUDE,LOCATION,INCIDENT_DAYOFWEEK,INCIDENT_DATE,INCIDENT_TIME,INCIDENT_MONTH
10000000,SS442871,78XX N PULASKI RD,740,THEFT,THEFT OVER $500,RESTAURANT,False,False,212,8,15.0,18.0,15,1151489.0,1867491.0,2022,2022-03-13 07:47:00,41.71608165,-87.67342345,"(41.71608165, -87.67342345)",FRIDAY,2022-03-04,07:47:00,3
10000001,WW348136,99XX E HALSTED ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,RESIDENCE,False,False,711,14,6.0,71.0,07,1185228.0,1853665.0,2015,2015-07-01 19:34:00,41.94851207,-87.62679436,"(41.94851207, -87.62679436)",SATURDAY,2015-06-27,19:34:00,6
10000002,GG525832,51XX W ASHLAND AVE,910,VANDALISM,CRIMINAL DAMAGE,BAR OR TAVERN,False,True,811,2,15.0,5.0,14,1185895.0,1867010.0,2021,2021-04-27 10:20:00,41.96394084,-87.62984598,"(41.96394084, -87.62984598)",WEDNESDAY,2021-03-31,10:20:00,3
10000003,NC685131,1XX E COTTAGE GROVE AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,BAR OR TAVERN,False,False,221,9,36.0,2.0,13,1155577.0,1884781.0,2019,2019-05-13 13:29:00,41.77004756,-87.60771146,"(41.77004756, -87.60771146)",FRIDAY,2019-04-26,13:29:00,4
10000004,YT673638,78XX W PULASKI RD,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,122,3,6.0,63.0,15,1197342.0,1863210.0,2017,2017-09-26 05:56:00,41.72772815,-87.60207475,"(41.72772815, -87.60207475)",THURSDAY,2017-09-07,05:56:00,9
10000005,CR348066,61XX W PULASKI RD,560,ASSAULT,SIMPLE,GAS STATION,True,False,611,11,5.0,66.0,07,1194119.0,1896096.0,2017,2017-08-23 06:02:00,41.85177018,-87.58299423,"(41.85177018, -87.58299423)",WEDNESDAY,2017-07-26,06:02:00,7
10000006,XE039726,62XX S NORTH AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,True,1811,19,7.0,7.0,14,1192434.0,1863304.0,2015,2015-12-03 14:55:00,41.98069888,-87.52208991,"(41.98069888, -87.52208991)",THURSDAY,2015-11-05,14:55:00,11
10000007,QK559272,73XX S STATE ST,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RETAIL STORE,False,True,121,18,34.0,21.0,04A,1183760.0,1890235.0,2018,2018-07-24 05:37:00,41.74574749,-87.62148947,"(41.74574749, -87.62148947)",SUNDAY,2018-07-08,05:37:00,7
10000008,YD115267,2XX E WESTERN AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,RESTAURANT,False,False,912,12,5.0,32.0,15,1199192.0,1914567.0,2021,2021-01-16 10:16:00,41.85296539,-87.70924486,"(41.85296539, -87.70924486)",MONDAY,2021-01-11,10:16:00,1
10000009,DI878822,48XX S DIVISION ST,910,VANDALISM,CRIMINAL DAMAGE,HOSPITAL BUILDING/GROUNDS,False,False,1911,6,48.0,57.0,02,1184550.0,1861924.0,2018,2018-10-07 19:40:00,41.72356216,-87.51648472,"(41.72356216, -87.51648472)",FRIDAY,2018-09-28,19:40:00,9
10000010,VW263207,59XX E BROADWAY,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,BAR OR TAVERN,True,True,621,11,27.0,32.0,06,1151936.0,1887655.0,2016,2017-01-01 21:01:00,41.90038346,-87.68523748,"(41.90038346, -87.68523748)",MONDAY,2016-12-26,21:01:00,12
10000011,LY966195,67XX S CHICAGO AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,GAS STATION,False,False,1121,12,47.0,41.0,01A,1162736.0,1906702.0,2017,2018-01-06 03:38:00,41.80555863,-87.62702359,"(41.80555863, -87.62702359)",SATURDAY,2017-12-23,03:38:00,12
10000012,HR609238,95XX S HALSTED ST,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,511,1,20.0,37.0,14,1172107.0,1867096.0,2021,2021-12-14 17:25:00,41.88641169,-87.66050354,"(41.88641169, -87.66050354)",FRIDAY,2021-11-26,17:25:00,11
10000013,RZ598675,59XX S GRAND AVE,510,ASSAULT,AGGRAVATED: HANDGUN,HOSPITAL BUILDING/GROUNDS,False,False,212,5,42.0,1.0,04A,1173227.0,1894592.0,2022,2022-10-31 13:25:00,41.93123296,-87.59122647,"(41.93123296, -87.59122647)",SUNDAY,2022-10-23,13:25:00,10
10000014,KI408379,91XX S HALSTED ST,560,ASSAULT,SIMPLE,ALLEY,True,False,711,9,29.0,10.0,04B,1157541.0,1880642.0,2023,2023-09-29 16:40:00,41.95790805,-87.7758267,"(41.95790805, -87.7758267)",THURSDAY,2023-09-21,16:40:00,9
10000015,PR048123,17XX N NORTH AVE,560,ASSAULT,SIMPLE,GAS STATION,True,False,521,22,15.0,63.0,13,1189907.0,1907934.0,2019,2019-10-01 16:47:00,41.80665716,-87.59933791,,FRIDAY,2019-09-13,16:47:00,9
10000016,TE671891,28XX W CLARK ST,750,THEFT,THEFT $500 AND UNDER,ALLEY,False,False,112,24,5.0,6.0,17,1156311.0,1903556.0,2021,2021-01-26 04:22:00,41.69611401,-87.7542853,"(41.69611401, -87.7542853)",MONDAY,2021-01-18,04:22:00,1
10000017,VC968747,44XX N DIVISION ST,620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,False,False,221,10,44.0,77.0,19,1183076.0,1855516.0,2022,2022-02-07 10:44:00,41.70232074,-87.64017643,"(41.70232074, -87.64017643)",THURSDAY,2022-01-13,10:44:00,1
10000018,ON124524,44XX E CLARK ST,730,THEFT,SHOPLIFTING,CTA BUS,False,False,2011,16,16.0,60.0,08A,1159091.0,1866969.0,2017,2017-10-11 20:05:00,41.69861,-87.54471415,"(41.69861, -87.54471415)",MONDAY,2017-10-02,20:05:00,10
10000019,TH575982,24XX S PULASKI RD,750,THEFT,THEFT $500 AND UNDER,RETAIL STORE,False,False,621,11,6.0,59.0,26,1187144.0,1926070.0,2020,2021-01-01 13:47:00,41.9063853,-87.70533562,"(41.9063853, -87.70533562)",MONDAY,2020-12-14,13:47:00,12
10000020,DV902545,63XX N STATE ST,650,MOTOR VEHICLE THEFT,AUTOMOBILE,BAR OR TAVERN,False,False,1411,20,19.0,61.0,11,1173886.0,1915769.0,2023,2023-06-12 15:55:00,41.70541302,-87.51768092,"(41.70541302, -87.51768092)",SUNDAY,2023-06-11,15:55:00,6
10000021,SS469766,5XX S BROADWAY,460,BATTERY,SIMPLE,CTA TRAIN,True,False,211,24,14.0,34.0,08B,1172525.0,1897504.0,2023,2023-04-27 07:48:00,41.71251946,-87.79919728,"(41.71251946, -87.79919728)",THURSDAY,2023-04-20,07:48:00,4
10000022,AF685078,56XX E CLARK ST,750,THEFT,THEFT $500 AND UNDER,ALLEY,False,False,1221,10,29.0,16.0,02,1174689.0,1856435.0,2021,2021-10-03 19:36:00,41.97280287,-87.64985835,"(41.97280287, -87.64985835)",FRIDAY,2021-09-03,19:36:00,9
10000023,IZ459654,12XX E CLARK ST,740,THEFT,THEFT OVER $500,GROCERY FOOD STORE,False,False,321,11,43.0,14.0,13,1190678.0,1894007.0,2016,2016-01-20 15:26:00,41.77646534,-87.51644194,"(41.77646534, -87.51644194)",SATURDAY,2016-01-09,15:26:00,1
10000024,YH744441,83XX S FULLERTON AVE,730,THEFT,SHOPLIFTING,OTHER,False,False,712,22,16.0,21.0,04A,1195646.0,1886915.0,2022,2022-11-21 15:01:00,41.71796276,-87.50232286,"(41.71796276, -87.50232286)",MONDAY,2022-10-31,15:01:00,10
10000025,GU077836,25XX S NORTH AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT / GARAGE(NON.RESID.),False,False,1511,10,38.0,75.0,09,1188143.0,1880176.0,2020,2020-09-20 11:00:00,41.83530242,-87.70026801,"(41.83530242, -87.70026801)",THURSDAY,2020-09-10,11:00:00,9
10000026,QX456262,69XX W MADISON ST,560,ASSAULT,SIMPLE,RESIDENCE,False,False,122,5,27.0,20.0,20,1182491.0,1918141.0,2020,2020-12-18 21:00:00,41.79156837,-87.59218862,"(41.79156837, -87.59218862)",TUESDAY,2020-11-24,21:00:00,11
10000027,XD422089,80XX S FULLERTON AVE,610,BURGLARY,FORCIBLE ENTRY,ALLEY,False,False,312,12,24.0,56.0,11,1158753.0,1898759.0,2015,2015-07-18 12:03:00,41.89454011,-87.74598293,"(41.89454011, -87.74598293)",WEDNESDAY,2015-07-08,12:03:00,7
10000028,VX728212,2XX N FULLERTON AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE(NON.RESID.),False,False,1011,17,7.0,31.0,08A,1198897.0,1902658.0,2018,2018-06-19 09:24:00,41.98780761,-87.71143077,"(41.98780761, -87.71143077)",TUESDAY,2018-05-22,09:24:00,5
