WARD_NO,ALDERMAN,ADDRESS,CITY,STATE,ZIPCODE,WARD_PHONE,WARD_FAX,EMAIL,WEBSITE,LOCATION,CITY_HALL_ADDRESS,CITY_HALL_CITY,CITY_HALL_STATE,CITY_HALL_ZIPCODE,CITY_HALL_PHONE
1,La Spata Daniel,1958 North Milwaukee Avenue,Chicago,IL,60647,(872) 206-2685,(312) 448-8829,info@the1stward.com,https://www.the1stward.com/,"(41.917215, -87.68799)","121 North LaSalle Street, Room 200, Office 13",Chicago,IL,60602,(312) 744-3063
2,Hopkins Brian,1400 N Ashland Ave,Chicago,IL,60622,(312) 643-2299,(312) 643-2307,ward02@cityofchicago.org,https://www.ward02.com/,"(41.909812, -87.66799)","121 North LaSalle Street, Room 200, Office 28",Chicago,IL,60602,(312) 744-6836
3,King Pat,5046 S State St,Chicago,IL,60609,(773) 373-9273,(773) 373-6700,ward03@cityofchicago.org,https://www.ward03.com/,"(41.801912, -87.62799)","121 North LaSalle Street, Room 200, Office 20",Chicago,IL,60602,(312) 744-8028
4,Dowell Sophia King,435 E 35th St,Chicago,IL,60616,(773) 536-8103,(773) 536-7296,ward04@cityofchicago.org,https://www.ward04.com/,"(41.830812, -87.61799)","121 North LaSalle Street, Room 200, Office 22",Chicago,IL,60602,(312) 744-2690
5,Hairston Leslie,2325 E 71st St,Chicago,IL,60649,(773) 324-5555,(773) 324-1585,ward05@cityofchicago.org,https://www.ward05.com/,"(41.765812, -87.56799)","121 North LaSalle Street, Room 200, Office 19",Chicago,IL,60602,(312) 744-6832
6,Sawyer Roderick,7901 S Loomis Blvd,Chicago,IL,60620,(773) 635-0006,(773) 635-0007,ward06@cityofchicago.org,https://www.ward06.com/,"(41.751812, -87.65799)","121 North LaSalle Street, Room 200, Office 31",Chicago,IL,60602,(312) 744-6839
7,Mitchell Gregory,2258 E 75th St,Chicago,IL,60649,(773) 731-7777,(773) 731-7770,ward07@cityofchicago.org,https://www.ward07.com/,"(41.759912, -87.56799)","121 North LaSalle Street, Room 200, Office 21",Chicago,IL,60602,(312) 744-6833
8,Harris Michelle,8539 S Cottage Grove,Chicago,IL,60619,(773) 933-9273,(773) 933-9279,ward08@cityofchicago.org,https://www.ward08.com/,"(41.739812, -87.60799)","121 North LaSalle Street, Room 200, Office 25",Chicago,IL,60602,(312) 744-6834
9,Beale Anthony,34 E 112th Pl,Chicago,IL,60628,(773) 785-1100,(773) 785-1101,ward09@cityofchicago.org,https://www.ward09.com/,"(41.692812, -87.60799)","121 North LaSalle Street, Room 200, Office 24",Chicago,IL,60602,(312) 744-6835
10,O'Shea Susan,2458 E 75th St,Chicago,IL,60649,(773) 731-0096,(773) 731-0098,ward10@cityofchicago.org,https://www.ward10.com/,"(41.757812, -87.55799)","121 North LaSalle Street, Room 200, Office 30",Chicago,IL,60602,(312) 744-6838
11,Lopez Raymond,2650 W 51st St,Chicago,IL,60632,(773) 523-4100,(773) 523-4108,ward11@cityofchicago.org,https://www.ward11.com/,"(41.800812, -87.68799)","121 North LaSalle Street, Room 200, Office 18",Chicago,IL,60602,(312) 744-6840
12,Cardona George Jr,2458 S Millard Ave,Chicago,IL,60623,(773) 762-3700,(773) 762-3730,ward12@cityofchicago.org,https://www.ward12.com/,"(41.848812, -87.71799)","121 North LaSalle Street, Room 200, Office 29",Chicago,IL,60602,(312) 744-6841
13,Quinn Marty,5335 S Central Ave,Chicago,IL,60638,(773) 581-3143,(773) 581-7900,ward13@cityofchicago.org,https://www.ward13.com/,"(41.800812, -87.76799)","121 North LaSalle Street, Room 200, Office 35",Chicago,IL,60602,(312) 744-3169
14,Burke Edward M,2650 W 51st St,Chicago,IL,60632,(773) 471-1414,(773) 471-1420,ward14@cityofchicago.org,https://www.ward14.com/,"(41.800812, -87.68799)","121 North LaSalle Street, Room 200, Office 15",Chicago,IL,60602,(312) 744-3150
15,Thompson Raymond A,1652 W 95th St,Chicago,IL,60643,(773) 881-9300,(773) 881-9305,ward15@cityofchicago.org,https://www.ward15.com/,"(41.721812, -87.66799)","121 North LaSalle Street, Room 200, Office 16",Chicago,IL,60602,(312) 744-3150
16,Coleman Stephanie D,7208 S Halsted St,Chicago,IL,60621,(773) 436-7900,(773) 436-7907,ward16@cityofchicago.org,https://www.ward16.com/,"(41.766812, -87.64799)","121 North LaSalle Street, Room 200, Office 17",Chicago,IL,60602,(312) 744-6842
17,Curtis David H,1636 E 95th St,Chicago,IL,60617,(773) 933-9273,(773) 933-9279,ward17@cityofchicago.org,https://www.ward17.com/,"(41.721812, -87.55799)","121 North LaSalle Street, Room 200, Office 23",Chicago,IL,60602,(312) 744-6843
18,Silverstein Howard,6930 W Touhy Ave,Chicago,IL,60631,(773) 775-4636,(773) 775-4638,ward18@cityofchicago.org,https://www.ward18.com/,"(41.999812, -87.80799)","121 North LaSalle Street, Room 200, Office 32",Chicago,IL,60602,(312) 744-6844
19,Napolitano Deb,5765 N Lincoln Ave,Chicago,IL,60659,(773) 784-2410,(773) 784-2419,ward19@cityofchicago.org,https://www.ward19.com/,"(41.984812, -87.69799)","121 North LaSalle Street, Room 200, Office 37",Chicago,IL,60602,(312) 744-6846
20,Burnett Jr Walter,2044 W Division St,Chicago,IL,60622,(312) 643-2299,(312) 643-2307,ward20@cityofchicago.org,https://www.ward20.com/,"(41.903812, -87.67799)","121 North LaSalle Street, Room 200, Office 27",Chicago,IL,60602,(312) 744-6847
24,King William,931 N Christiana Ave,Chicago,IL,60651,(312) 744-6836,(312) 744-6837,ward24@cityofchicago.org,https://www.ward24.com/,"(41.897812, -87.71799)","121 North LaSalle Street, Room 200, Office 26",Chicago,IL,60602,(312) 744-6836
25,Villegas Byron,2123 S Blue Island Ave,Chicago,IL,60608,(312) 666-1500,(312) 666-1501,ward25@cityofchicago.org,https://www.ward25.com/,"(41.851812, -87.66799)","121 North LaSalle Street, Room 200, Office 14",Chicago,IL,60602,(312) 744-6848
28,Ervin Jason C,2548 W Chicago Ave,Chicago,IL,60622,(312) 746-8106,(312) 746-8107,ward28@cityofchicago.org,https://www.ward28.com/,"(41.895812, -87.69799)","121 North LaSalle Street, Room 200, Office 33",Chicago,IL,60602,(312) 744-6849
32,Waguespack Scott,2657 N Clybourn Ave,Chicago,IL,60614,(773) 248-1330,(773) 248-3835,ward32@cityofchicago.org,https://www.ward32.com/,"(41.931812, -87.65799)","121 North LaSalle Street, Room 200, Office 34",Chicago,IL,60602,(312) 744-6850
21,Johnson Alex,2100 Dummy Avenue,Chicago,IL,60601,(312) 555-2101,(312) 555-2102,ward21@example.com,https://www.example.com/ward21,"(41.8801, -87.6301)","121 North LaSalle Street, Room 200, Office 21",Chicago,IL,60602,(312) 555-3001
22,Williams Brian,2200 Dummy Avenue,Chicago,IL,60602,(312) 555-2201,(312) 555-2202,ward22@example.com,https://www.example.com/ward22,"(41.8812, -87.6312)","121 North LaSalle Street, Room 200, Office 22",Chicago,IL,60602,(312) 555-3002
23,Davis Michael,2300 Dummy Avenue,Chicago,IL,60603,(312) 555-2301,(312) 555-2302,ward23@example.com,https://www.example.com/ward23,"(41.8823, -87.6323)","121 North LaSalle Street, Room 200, Office 23",Chicago,IL,60602,(312) 555-3003
26,Wilson Sarah,2600 Dummy Avenue,Chicago,IL,60604,(312) 555-2601,(312) 555-2602,ward26@example.com,https://www.example.com/ward26,"(41.8834, -87.6334)","121 North LaSalle Street, Room 200, Office 26",Chicago,IL,60602,(312) 555-3004
27,Anderson James,2700 Dummy Avenue,Chicago,IL,60605,(312) 555-2701,(312) 555-2702,ward27@example.com,https://www.example.com/ward27,"(41.8845, -87.6345)","121 North LaSalle Street, Room 200, Office 27",Chicago,IL,60602,(312) 555-3005
29,Thomas Robert,2900 Dummy Avenue,Chicago,IL,60606,(312) 555-2901,(312) 555-2902,ward29@example.com,https://www.example.com/ward29,"(41.8856, -87.6356)","121 North LaSalle Street, Room 200, Office 29",Chicago,IL,60602,(312) 555-3006
30,Jackson Emily,3000 Dummy Avenue,Chicago,IL,60607,(312) 555-3001,(312) 555-3002,ward30@example.com,https://www.example.com/ward30,"(41.8867, -87.6367)","121 North LaSalle Street, Room 200, Office 30",Chicago,IL,60602,(312) 555-3007
31,White Daniel,3100 Dummy Avenue,Chicago,IL,60608,(312) 555-3101,(312) 555-3102,ward31@example.com,https://www.example.com/ward31,"(41.8878, -87.6378)","121 North LaSalle Street, Room 200, Office 31",Chicago,IL,60602,(312) 555-3008
33,Harris Jennifer,3300 Dummy Avenue,Chicago,IL,60609,(312) 555-3301,(312) 555-3302,ward33@example.com,https://www.example.com/ward33,"(41.8889, -87.6389)","121 North LaSalle Street, Room 200, Office 33",Chicago,IL,60602,(312) 555-3009
34,Martin Christopher,3400 Dummy Avenue,Chicago,IL,60610,(312) 555-3401,(312) 555-3402,ward34@example.com,https://www.example.com/ward34,"(41.8900, -87.6400)","121 North LaSalle Street, Room 200, Office 34",Chicago,IL,60602,(312) 555-3010
35,Thompson Linda,3500 Dummy Avenue,Chicago,IL,60611,(312) 555-3501,(312) 555-3502,ward35@example.com,https://www.example.com/ward35,"(41.8911, -87.6411)","121 North LaSalle Street, Room 200, Office 35",Chicago,IL,60602,(312) 555-3011
36,Garcia Matthew,3600 Dummy Avenue,Chicago,IL,60612,(312) 555-3601,(312) 555-3602,ward36@example.com,https://www.example.com/ward36,"(41.8922, -87.6422)","121 North LaSalle Street, Room 200, Office 36",Chicago,IL,60602,(312) 555-3012
37,Martinez Patricia,3700 Dummy Avenue,Chicago,IL,60613,(312) 555-3701,(312) 555-3702,ward37@example.com,https://www.example.com/ward37,"(41.8933, -87.6433)","121 North LaSalle Street, Room 200, Office 37",Chicago,IL,60602,(312) 555-3013
38,Robinson Steven,3800 Dummy Avenue,Chicago,IL,60614,(312) 555-3801,(312) 555-3802,ward38@example.com,https://www.example.com/ward38,"(41.8944, -87.6444)","121 North LaSalle Street, Room 200, Office 38",Chicago,IL,60602,(312) 555-3014
39,Clark Barbara,3900 Dummy Avenue,Chicago,IL,60615,(312) 555-3901,(312) 555-3902,ward39@example.com,https://www.example.com/ward39,"(41.8955, -87.6455)","121 North LaSalle Street, Room 200, Office 39",Chicago,IL,60602,(312) 555-3015
40,Rodriguez Kevin,4000 Dummy Avenue,Chicago,IL,60616,(312) 555-4001,(312) 555-4002,ward40@example.com,https://www.example.com/ward40,"(41.8966, -87.6466)","121 North LaSalle Street, Room 200, Office 40",Chicago,IL,60602,(312) 555-3016
41,Lewis Jessica,4100 Dummy Avenue,Chicago,IL,60617,(312) 555-4101,(312) 555-4102,ward41@example.com,https://www.example.com/ward41,"(41.8977, -87.6477)","121 North LaSalle Street, Room 200, Office 41",Chicago,IL,60602,(312) 555-3017
